CFTC_Contract_Market_Code,Report_Date_as_YYYY-MM-DD,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All
209742,2010-04-27,372309,51210,122656,88607,47310,156673,131608
209742,2010-05-04,373149,54809,117477,84837,49920,152419,136544
209742,2010-05-11,348508,20110,97429,79447,54959,126662,121245
209742,2010-05-18,344011,25969,91872,81626,59297,121188,121144
209742,2010-05-25,350891,33630,97883,74198,69107,122998,104718
209742,2010-06-01,347424,54899,82103,76944,71844,98943,114756
209742,2010-06-08,368180,73309,72584,72559,94075,98535,122260
209742,2010-06-15,458495,72788,64774,73333,109589,98248,115131
209742,2010-06-22,289227,92635,85725,62087,91618,83269,57453
209742,2010-06-29,298025,101673,89066,68913,95875,76919,56826
209742,2010-07-06,305231,115796,63788,74617,102057,67167,79037
209742,2010-07-13,316016,119344,43685,80742,100724,65427,99515
209742,2010-07-20,315026,116519,59341,78431,103275,70708,76181
209742,2010-07-27,323932,119963,74250,83094,101260,73387,78876
209742,2010-08-03,347797,119487,98392,74726,108122,102368,78165
209742,2010-08-10,362373,122227,104411,77064,105909,113755,88090
209742,2010-08-17,347043,131785,73429,59402,110689,107082,90719
209742,2010-08-24,352705,154355,54232,60031,117789,90407,105097
209742,2010-08-31,357315,173081,55105,54054,121266,85215,104096
209742,2010-09-07,349561,164808,49289,56972,116934,81569,105853
209742,2010-09-14,472288,146996,70114,88406,113345,102607,127276
209742,2010-09-21,346065,85736,128011,99150,87654,99311,75139
209742,2010-09-28,412807,79097,175019,99272,89164,166837,92968
209742,2010-10-05,459878,82192,205991,102346,89420,203595,111893
209742,2010-10-12,443019,92887,194785,106747,86946,174734,105080
209742,2010-10-19,432080,94974,199645,111696,85361,153330,96160
209742,2010-10-26,453896,94336,210237,117069,85653,173630,105786
209742,2010-11-02,442944,84128,198460,123288,86251,167546,106707
209742,2010-11-09,435008,91262,193966,131864,83384,152329,105225
209742,2010-11-16,465344,92780,190422,117961,82774,186259,119039
209742,2010-11-23,413327,94293,175484,110088,82482,148263,98860
209742,2010-11-30,402007,93712,166632,103865,80410,146907,81003
209742,2010-12-07,412606,97656,186260,110524,78579,143571,80822
209742,2010-12-14,520747,97447,197343,111475,56746,143541,97341
209742,2010-12-21,333555,28855,212601,105524,38031,137704,42432
209742,2010-12-28,323261,27267,204981,108839,37765,126480,43200
209742,2011-01-04,358757,27814,214595,123963,37578,138007,65421
209742,2011-01-11,354431,30057,206664,130273,37365,132654,66015
209742,2011-01-18,375996,31791,213783,130480,37952,146640,76003
209742,2011-01-25,383350,33283,216942,120478,43240,160158,76584
209742,2011-02-01,366300,38326,207194,97858,41604,156996,68286
209742,2011-02-08,350582,35770,191445,116566,36071,122096,71219
209742,2011-02-15,354378,33380,190366,118010,37412,123955,69467
209742,2011-02-22,373325,34183,197714,119555,36553,150558,80463
209742,2011-03-01,360389,41620,186251,96514,36636,134526,77867
209742,2011-03-08,363766,41189,186434,93488,37167,148549,80110
209742,2011-03-15,428273,66997,171081,79307,45513,137648,79903
209742,2011-03-22,274824,80772,128202,68703,45806,73268,55781
209742,2011-03-29,314742,77505,147048,69205,49004,115491,77043
209742,2011-04-05,360997,70544,169525,79544,45741,150588,107275
209742,2011-04-12,336108,70834,146308,73709,48348,129327,102717
209742,2011-04-19,315826,79195,141155,68295,52464,103667,78947
209742,2011-04-26,365429,76505,164038,79380,56796,142243,101308
209742,2011-05-03,412576,75294,188763,81718,52414,185232,129060
209742,2011-05-10,399383,76236,188257,77070,53714,187038,122951
209742,2011-05-17,362823,80333,155152,80507,70959,142158,98775
209742,2011-05-24,344740,83565,148792,73334,71656,128571,84374
209742,2011-05-31,351232,82870,152191,69002,71787,137439,84193
209742,2011-06-07,340737,90291,126221,73930,79684,106443,76026
209742,2011-06-14,401154,102291,116082,65050,97152,98149,83841
209742,2011-06-21,270658,90973,95198,65202,73514,64032,77116
209742,2011-06-28,267870,92957,96882,58261,40097,65790,83628
209742,2011-07-05,292653,84790,115214,59999,34827,92692,93737
209742,2011-07-12,356267,77574,168292,59747,35437,163559,112268
209742,2011-07-19,363827,76583,173040,65181,37096,176274,113455
209742,2011-07-26,364339,78940,172066,70078,30945,160413,112080
209742,2011-08-02,353814,74975,159923,70381,37845,152193,101371
209742,2011-08-09,329768,79135,154169,74658,54978,126461,65174
209742,2011-08-16,342998,122205,143701,68612,59490,86862,84860
209742,2011-08-23,360396,137231,154104,65316,63982,89333,82054
209742,2011-08-30,372851,154308,158653,66766,53912,85799,97497
209742,2011-09-06,392734,148893,152538,82538,89962,91262,91750
209742,2011-09-13,473798,155590,144443,99381,120214,97794,98641
209742,2011-09-20,309930,92046,89096,95813,108267,78140,69866
209742,2011-09-27,316586,104231,85481,96624,98313,81439,68610
209742,2011-10-04,322866,107658,77610,91931,106137,81428,62786
209742,2011-10-11,299005,96322,89049,93287,86683,74820,53350
209742,2011-10-18,324594,91942,122332,105949,76424,84674,53527
209742,2011-10-25,337429,82440,130849,112018,74885,103454,58701
209742,2011-11-01,339730,85501,151008,109369,59094,100726,46402
209742,2011-11-08,346543,83853,148610,110053,44887,108524,59085
209742,2011-11-15,346653,83877,150902,105369,45914,110976,57191
209742,2011-11-22,320368,88009,117177,95741,46169,93368,56010
209742,2011-11-29,295643,88506,105786,92235,47093,78533,43650
209742,2011-12-06,321602,90677,128865,104076,45428,86588,50788
209742,2011-12-13,412713,99212,141050,113201,52625,103754,57873
209742,2011-12-20,255825,44005,124830,101083,49848,65310,43721
209742,2011-12-27,255983,40313,124526,101602,47762,62405,41110
209742,2012-01-03,264654,40960,132522,99490,49257,70617,39714
209742,2012-01-10,298290,35921,156217,118208,47279,89121,53004
209742,2012-01-17,328260,32477,173356,124092,47267,114678,62605
209742,2012-01-24,375509,35782,207927,126700,46812,146708,78062
209742,2012-01-31,382193,42821,222986,130885,46240,157382,67099
209742,2012-02-07,385405,42379,224239,114087,45546,175389,69850
209742,2012-02-14,437643,35258,246813,144147,44821,195570,89503
209742,2012-02-21,462415,26353,286642,158467,44401,228617,74836
209742,2012-02-28,481256,30323,302993,166042,45989,233415,72340
209742,2012-03-06,480559,28414,294625,161295,44189,234812,75261
209742,2012-03-13,587569,29270,317267,164572,49614,250436,58914
209742,2012-03-20,441701,20079,253307,160246,41043,216701,76658
209742,2012-03-27,435674,20632,240684,160107,36463,205488,74242
209742,2012-04-03,447118,26361,255334,158717,36377,214776,67924
209742,2012-04-10,449201,25072,249453,158697,37363,214794,76787
209742,2012-04-17,440192,23714,254866,161319,40451,209218,69571
209742,2012-04-24,416133,24605,242214,161968,39790,182680,66668
209742,2012-05-01,409777,36454,231280,163445,36981,160771,68992
209742,2012-05-08,417971,52205,205863,150908,42296,160256,90841
209742,2012-05-15,405222,42637,200465,138396,41239,177230,97526
209742,2012-05-22,395117,52280,185372,136235,44482,156954,87473
209742,2012-05-29,379569,61739,174384,127056,44661,147478,92321
209742,2012-06-05,382912,62777,168116,128475,44020,149781,101894
209742,2012-06-12,462707,47998,170613,152073,45081,134806,93470
209742,2012-06-19,329850,19837,204178,170459,43978,92450,48133
209742,2012-06-26,339283,24870,208236,175678,45165,91188,49171
209742,2012-07-03,353795,22470,231401,172025,42525,109564,44159
209742,2012-07-10,348944,22564,223449,183385,44282,95240,41609
209742,2012-07-17,339460,28083,219899,174176,44496,89310,38512
209742,2012-07-24,352606,28081,220415,178866,45279,102316,45932
209742,2012-07-31,368502,29037,237134,172282,43814,123329,50935
209742,2012-08-07,392754,28121,254310,172498,43807,146123,53599
209742,2012-08-14,409963,26706,266167,177396,43024,157426,59142
209742,2012-08-21,439683,23969,295346,183747,40850,183328,50967
209742,2012-08-28,460255,21535,310742,194526,41814,195967,49011
209742,2012-09-04,460702,21584,313255,192723,42811,196811,42795
209742,2012-09-11,464897,21684,319075,191280,41579,186464,35117
209742,2012-09-18,597830,22286,309142,193581,36729,170781,34161
209742,2012-09-25,410237,16091,301043,178560,38047,159281,33025
209742,2012-10-02,412593,17059,284583,172059,38812,156275,38776
209742,2012-10-09,398792,18380,256886,166980,37518,148155,53000
209742,2012-10-16,389596,27335,256544,163609,36858,139306,42696
209742,2012-10-23,370909,34307,234134,160095,38525,115875,49495
209742,2012-10-30,371266,41245,237127,155234,38756,117177,48337
209742,2012-11-06,360969,51659,227502,154464,49022,110185,43988
209742,2012-11-13,362170,77922,214600,128983,54286,110108,48198
209742,2012-11-20,400482,130301,219318,114161,54288,105977,79901
209742,2012-11-27,399627,129714,217980,110065,53773,104971,80844
209742,2012-12-04,388338,92475,222791,110336,49050,129046,68110
209742,2012-12-11,402918,69777,235441,117552,45705,154375,66766
209742,2012-12-18,469488,67848,236265,120531,40007,145144,66475
209742,2012-12-24,294127,14658,153671,129496,35648,103014,72405
209742,2012-12-31,281304,12613,138750,129716,36044,92057,74055
209742,2013-01-08,300637,12230,172735,135820,31297,102873,59289
209742,2013-01-15,309462,12414,176421,139465,31266,104484,61715
209742,2013-01-22,315830,11334,186329,137723,31025,113354,57392
209742,2013-01-29,330228,14033,199744,145418,29221,119298,57011
209742,2013-02-05,335692,11520,202251,156468,28565,123896,56710
209742,2013-02-12,334566,14564,199968,157235,27682,115089,62662
209742,2013-02-19,348464,14085,207726,159927,27671,128007,66484
209742,2013-02-26,331754,12400,182953,150872,28763,118889,70400
209742,2013-03-05,354078,12645,193885,141848,32962,137611,72728
209742,2013-03-12,456616,13850,205285,147477,31820,146768,73203
209742,2013-03-19,340205,7834,239980,158718,34787,126204,36475
