Fecha,Signo,Cantidad_USD,NAV,Cambio_%,AUM
2013-11-29,Entrada,68171648.0,85.64,0.496385,42266421760.0
2013-12-02,Entrada,137020083.76,85.47,-0.19113,42613246049.36
2013-12-03,Salida,-51284323.87,85.43,-0.052507,42480514935.67
2013-12-04,Entrada,4271449.64,85.52,0.107272,42462480915.97
2013-12-05,Entrada,641404758.6,85.39,-0.151614,43149436126.88
2013-12-06,Salida,-85390972.83,86.04,0.758718,42998624368.55
2013-12-09,Salida,-43019424.82,86.33,0.339282,43281843311.4
2013-12-10,Salida,-17266152.82,86.28,-0.056329,43411424717.63
2013-12-11,Salida,-103538561.45,85.18,-1.273785,43283432791.99
2013-12-12,Entrada,93701394.05,84.97,-0.24831,42825796235.12
2013-12-13,Salida,0.0,84.88,-0.112267,42719455605.87
2013-12-16,Entrada,161264728.59,85.35,0.558219,42832760674.17
2013-12-17,Salida,-55477479.52,85.19,-0.186233,43016384118.96
2013-12-18,Salida,-289649462.29,86.18,1.158875,42646623770.99
2013-12-19,Salida,-8617827.47,85.91,-0.31293,43132226487.35
2013-12-20,Salida,-236248641.17,86.43,0.609734,42761004052.22
2013-12-23,Entrada,103718893.46,87.37,1.081166,43125451578.22
2013-12-24,Entrada,423729413.15,87.46,0.105648,44015438834.38
2013-12-25,Salida,0.0,87.46,0.0,44015438834.38
2013-12-26,Entrada,402312272.16,87.75,0.329085,44464251992.64
2013-12-27,Entrada,486995879.58,87.49,-0.289956,45097573389.35
2013-12-30,Salida,-8749257.73,87.4,-0.10037,44958060855.88
2013-12-31,Entrada,113626188.72,87.94,0.612486,45026562397.33
2014-01-01,Salida,0.0,87.94,0.0,45026562397.33
2014-01-02,Entrada,35176041.32,87.26,-0.769159,45337520251.16
2014-01-03,Entrada,61084593.08,86.65,-0.698107,45049887396.5
2014-01-06,Salida,-38994529.37,86.37,-0.333002,44696396108.42
2014-01-07,Salida,-164095303.9,87.12,0.876157,44383461406.94
2014-01-08,Salida,-174245300.12,87.36,0.272736,44598084565.71
2014-01-09,Entrada,476113442.07,86.99,-0.419619,45195832890.81
2014-01-10,Entrada,260981054.07,87.3,0.350142,45267163828.44
2014-01-13,Salida,-30554399.97,86.02,-1.466173,45395108522.4
2014-01-14,Salida,-847280665.94,87.68,1.929656,43882257028.46
2014-01-15,Salida,-434007088.32,88.39,0.816317,44295026468.23
2014-01-16,Entrada,866260534.68,88.43,0.039498,45522875036.65
2014-01-17,Entrada,132643268.97,87.94,-0.556801,45673498948.67
2014-01-20,Salida,0.0,87.94,0.0,45673498948.67
2014-01-21,Salida,-153888827.22,88.58,0.735691,45265299322.32
2014-01-22,Salida,-1231309458.91,88.83,0.276156,44367003057.16
2014-01-23,Salida,-324222353.26,88.49,-0.384694,44165302477.43
2014-01-24,Entrada,477826162.34,86.72,-2.000398,44473227628.54
2014-01-27,Salida,-95387872.11,85.92,-0.916569,43488198056.06
2014-01-28,Entrada,21480358.29,85.84,-0.094664,43111079093.05
2014-01-29,Entrada,111592125.05,84.92,-1.070706,43181860388.38
2014-01-30,Salida,-339684002.28,86.51,1.865264,42379825334.46
2014-01-31,Entrada,371971510.23,86.25,-0.298313,43542292947.97
2014-02-03,Salida,-495919941.86,84.25,-2.310673,42916480533.62
2014-02-04,Entrada,155870013.37,84.99,0.868896,42080690906.3
2014-02-05,Entrada,16997228.2,84.64,-0.412712,42463325355.65
2014-02-06,Salida,-236979101.27,85.74,1.309458,42051095166.07
2014-02-07,Salida,0.0,87.32,1.833782,42601736338.18
2014-02-10,Entrada,314337634.7,87.81,0.565685,43697297024.34
2014-02-11,Salida,-210743864.59,88.79,1.117795,43733742400.02
2014-02-12,Entrada,22197869.81,88.94,0.162981,44244794110.28
2014-02-13,Salida,-137851097.17,89.73,0.887401,44179053236.91
2014-02-14,Entrada,98697954.72,89.83,0.118453,44669797051.23
2014-02-17,Salida,0.0,89.83,0.0,44669797051.23
2014-02-18,Entrada,682720879.04,90.27,0.487288,45405430040.62
2014-02-19,Entrada,27080830.2,89.62,-0.721187,45653766240.44
2014-02-20,Entrada,143389477.46,90.09,0.523584,45467907117.06
2014-02-21,Entrada,171166536.86,89.86,-0.254799,45877136261.57
2014-02-24,Entrada,974960478.31,90.42,0.62885,46735202282.86
2014-02-25,Entrada,370735045.75,90.26,-0.179196,47399831946.74
2014-02-26,Entrada,248218153.78,90.2,-0.064526,47563111322.07
2014-02-27,Salida,-527686994.37,90.39,0.212564,47004733805.92
2014-02-28,Entrada,85874911.51,90.3,-0.10145,47190523738.36
2014-03-03,Salida,-437969254.83,89.64,-0.734549,46704680123.21
2014-03-04,Entrada,609549418.79,90.9,1.401299,46971161094.84
2014-03-05,Salida,-404486039.22,91.07,0.195317,47224881275.38
2014-03-06,Salida,-255005167.54,90.92,-0.166466,47062114401.51
2014-03-07,Salida,-36368667.22,90.49,-0.471407,46947403302.78
2014-03-10,Entrada,85968404.49,90.57,0.083074,46812058572.33
2014-03-11,Entrada,67926174.6,90.21,-0.399926,46918873002.04
2014-03-12,Salida,0.0,90.59,0.428321,46731232530.83
2014-03-13,Salida,-620557923.97,89.24,-1.49327,46310833683.79
2014-03-14,Entrada,31233863.25,88.66,-0.646813,45650522127.18
2014-03-17,Salida,-372382062.7,89.51,0.954991,44982866549.72
2014-03-18,Entrada,35803645.46,90.59,1.202158,45448252460.86
2014-03-19,Entrada,312518784.58,90.0,-0.64324,46307131210.44
2014-03-20,Salida,0.0,90.28,0.303658,46009265138.21
2014-03-21,Salida,0.0,89.07,-1.3338,46148976047.09
2014-03-24,Salida,0.0,88.2,-0.976682,45533441394.86
2014-03-25,Entrada,13230259.46,88.5,0.340349,45101954492.32
2014-03-26,Salida,0.0,87.36,-1.286645,45255458903.88
2014-03-27,Salida,0.0,86.89,-0.545453,44673181703.27
2014-03-28,Salida,0.0,87.09,0.232578,44429510618.96
2014-03-31,Salida,0.0,87.69,0.6901,44532843311.64
2014-04-01,Salida,0.0,89.24,1.765125,44840164743.45
2014-04-02,Salida,0.0,89.42,0.20789,45631649915.03
2014-04-03,Salida,0.0,88.73,-0.774891,45726513414.25
2014-04-04,Salida,-1215603607.38,86.34,-2.69864,44156579212.75
2014-04-07,Salida,0.0,85.56,-0.893225,42964952007.96
2014-04-08,Salida,0.0,86.31,0.870038,42581178167.6
2014-04-09,Salida,0.0,87.83,1.765042,42951651072.56
2014-04-10,Salida,-1102295909.29,85.09,-3.126704,42607469768.79
2014-04-11,Salida,0.0,84.09,-1.173569,41275260090.6
2014-04-14,Salida,0.0,84.76,0.804736,40790866793.99
2014-04-15,Salida,0.0,85.09,0.379514,41119125756.09
2014-04-16,Salida,0.0,86.19,1.294951,41275178244.53
2014-04-17,Salida,-810164736.92,86.22,0.038681,40999506952.33
2014-04-18,Salida,0.0,86.22,0.0,40999506952.33
2014-04-21,Entrada,810478115.81,86.84,0.717725,41825844040.36
2014-04-22,Salida,0.0,87.54,0.809279,42126038211.41
2014-04-23,Salida,0.0,86.77,-0.881604,42466955440.83
2014-04-24,Salida,0.0,87.6,0.954122,42092565103.51
2014-04-25,Salida,-1519839235.87,86.19,-1.613278,40974340206.15
2014-04-28,Salida,0.0,86.48,0.344973,40313310288.48
2014-04-29,Salida,0.0,87.19,0.815656,40452380319.9
2014-04-30,Salida,0.0,87.38,0.223881,40782332376.7
2014-05-01,Salida,0.0,87.68,0.344946,40873636297.33
2014-05-02,Salida,-48226714.08,87.52,-0.188356,40966401487.17
2014-05-05,Salida,0.0,87.97,0.513166,40889239113.6
2014-05-06,Salida,0.0,86.79,-1.341557,41099068851.26
2014-05-07,Salida,0.0,86.54,-0.282353,40547701126.72
2014-05-08,Salida,0.0,86.46,-0.092645,40433213308.86
2014-05-09,Salida,0.0,86.83,0.428994,40395754282.75
2014-05-12,Salida,-950837098.18,88.23,1.605354,39618212424.19
2014-05-13,Salida,0.0,88.25,0.02742,40254225042.81
2014-05-14,Salida,0.0,87.82,-0.488847,40265262496.81
2014-05-15,Salida,0.0,87.14,-0.775232,40068426975.81
2014-05-16,Salida,0.0,87.68,0.61426,39757803840.88
2014-05-19,Salida,-495367484.76,88.37,0.789284,39506652855.61
2014-05-20,Salida,-128133122.33,88.0,-0.416717,39690339236.52
2014-05-21,Entrada,554396394.51,88.86,0.981833,40079339345.96
2014-05-22,Entrada,422101314.16,89.23,0.417592,40894952584.51
2014-05-23,Entrada,116004878.52,89.88,0.720706,41181731875.31
2014-05-26,Salida,0.0,89.88,0.0,41181731875.31
2014-05-27,Entrada,26963292.37,90.99,1.242061,41505494724.63
2014-05-28,Salida,-109192771.39,90.74,-0.284478,41911825419.3
2014-05-29,Entrada,376550739.58,91.31,0.631088,42169146076.56
2014-05-30,Entrada,908511973.1,91.33,0.027708,43343782274.45
2014-06-02,Entrada,27399910.67,91.25,-0.086572,43383191900.5
2014-06-03,Salida,0.0,91.18,-0.077719,43345634211.0
2014-06-04,Salida,-396646244.58,91.51,0.362109,42915300002.17
2014-06-05,Salida,-164723808.91,92.33,0.887685,42905976558.65
2014-06-06,Salida,-143104643.08,92.76,0.466886,43143741748.91
2014-06-09,Entrada,37102652.37,92.79,0.030652,43382276281.28
2014-06-10,Salida,-180930873.81,92.91,0.133828,43214643320.47
2014-06-11,Entrada,116136543.41,92.86,-0.055821,43388612618.91
2014-06-12,Salida,-78928766.14,92.03,-0.894043,43285463925.17
2014-06-13,Salida,0.0,92.31,0.312525,42898473252.68
2014-06-16,Salida,-350796222.79,92.42,0.114799,42681745685.55
2014-06-17,Entrada,711639936.08,92.46,0.037691,43442383370.95
2014-06-18,Entrada,198779551.72,93.02,0.613232,43657536893.49
2014-06-19,Salida,-13953385.78,92.93,-0.100319,43911305051.23
2014-06-20,Salida,-18585850.66,92.72,-0.221107,43848668174.32
2014-06-23,Entrada,37089511.89,92.79,0.069753,43788804977.49
2014-06-24,Salida,-927884578.3,92.65,-0.152435,42891464631.92
2014-06-25,Entrada,259411644.52,93.33,0.734129,43085494744.29
2014-06-26,Entrada,125991672.9,93.32,-0.005918,43527789807.3
2014-06-27,Salida,0.0,93.75,0.456682,43525213740.18
2014-06-30,Salida,0.0,93.88,0.141714,43723985724.58
2014-07-01,Salida,-42246305.76,94.98,1.165751,43743702599.05
2014-07-02,Salida,-61733811.28,95.12,0.148583,44191911368.48
2014-07-03,Entrada,351929980.0,95.69,0.606088,44609502869.89
2014-07-04,Salida,0.0,95.69,0.0,44609502869.89
2014-07-07,Salida,0.0,95.39,-0.313879,44879875990.46
2014-07-08,Salida,0.0,94.26,-1.18969,44739007628.84
2014-07-09,Entrada,296911020.17,94.97,0.755943,44503662911.85
2014-07-10,Entrada,379880000.0,94.66,-0.326419,45219965500.0
2014-07-11,Entrada,198786000.0,95.25,0.625899,45271145000.0
2014-07-14,Entrada,95252475.56,95.86,0.636136,45649748912.13
2014-07-15,Entrada,14378761.71,95.49,-0.38214,45954522415.57
2014-07-16,Entrada,396292205.16,95.93,0.45575,46175203808.99
2014-07-17,Salida,-187058240.67,94.6,-1.380766,46198589081.46
2014-07-18,Salida,-4730138.57,96.11,1.593219,45555964558.04
2014-07-21,Salida,-148970500.0,95.97,-0.145666,46132800000.0
2014-07-22,Salida,-455857500.0,96.64,0.698135,45609742500.0
2014-07-23,Salida,-173952000.0,97.24,0.620861,45754208000.0
2014-07-24,Entrada,24310000.0,97.16,-0.082271,46062588000.0
2014-07-25,Salida,-301196000.0,96.72,-0.452861,45723496000.0
2014-07-28,Entrada,120900000.0,96.77,0.051696,45637332000.0
2014-07-29,Salida,-38708000.0,96.58,-0.196342,45622216500.0
2014-07-30,Entrada,304227000.0,97.0,0.434873,45836868000.0
2014-07-31,Entrada,150350000.0,94.96,-2.103093,46186550000.0
2014-08-01,Salida,-185172000.0,94.65,-0.326453,45030032000.0
2014-08-04,Salida,-89917500.0,95.36,0.750132,44793112500.0
2014-08-05,Salida,-1220608000.0,94.56,-0.838926,43908512000.0
2014-08-06,Entrada,226944000.0,94.55,-0.010575,43767096000.0
2014-08-07,Entrada,137097500.0,94.21,-0.359598,43899565000.0
2014-08-08,Salida,-18842000.0,94.95,0.785479,43722861000.0
2014-08-11,Salida,-123435000.0,95.49,0.56872,43942860000.0
2014-08-12,Salida,-549067500.0,95.38,-0.115195,43643704500.0
2014-08-13,Entrada,42921000.0,96.45,1.121828,43636350000.0
2014-08-14,Salida,-159142500.0,96.94,0.508035,43966732500.0
2014-08-15,Entrada,67858000.0,97.38,0.453889,44257957000.0
2014-08-18,Entrada,258057000.0,98.19,0.831793,44716896000.0
2014-08-19,Salida,-417307500.0,98.72,0.53977,44671540500.0
2014-08-20,Entrada,1130344000.0,98.74,0.020259,46043008000.0
2014-08-21,Entrada,83929000.0,98.89,0.151914,46136265000.0
2014-08-22,Salida,0.0,99.03,0.141571,46206352500.0
2014-08-25,Entrada,118836000.0,99.39,0.363526,46390603500.0
2014-08-26,Entrada,44725500.0,99.49,0.100614,46603971000.0
2014-08-27,Salida,-14923500.0,99.53,0.040205,46635937500.0
2014-08-28,Salida,-34835500.0,99.36,-0.170803,46619852000.0
2014-08-29,Salida,0.0,99.77,0.412641,46540224000.0
2014-09-01,Salida,0.0,99.77,0.0,46540224000.0
2014-09-02,Entrada,19954000.0,100.1,0.330761,46752222000.0
2014-09-03,Entrada,90090000.0,99.49,-0.609391,46996950000.0
2014-09-04,Entrada,477552000.0,99.38,-0.110564,47188107000.0
2014-09-05,Salida,-139132000.0,99.95,0.573556,46996802000.0
2014-09-08,Entrada,164917500.0,100.09,0.14007,47431272500.0
2014-09-09,Entrada,95085500.0,99.27,-0.819263,47592795000.0
2014-09-10,Salida,-163795500.0,100.09,0.82603,47039089500.0
2014-09-11,Entrada,85076500.0,100.03,-0.059946,47512723000.0
2014-09-12,Salida,-310093000.0,99.46,-0.569829,47174148000.0
2014-09-15,Salida,-218812000.0,98.5,-0.965212,46686524000.0
2014-09-16,Salida,-394000000.0,99.41,0.923858,45841900000.0
2014-09-17,Entrada,24852500.0,99.57,0.16095,46290266500.0
2014-09-18,Salida,-233989500.0,100.29,0.723109,46130781000.0
2014-09-19,Salida,0.0,99.97,-0.319075,46464357000.0
2014-09-22,Salida,-194941500.0,99.03,-0.940282,46121159500.0
2014-09-23,Salida,-574374000.0,98.79,-0.242351,45113116500.0
2014-09-24,Salida,-553224000.0,99.83,1.052738,44450560500.0
2014-09-25,Salida,-269541000.0,97.72,-2.113593,44648967500.0
2014-09-26,Entrada,268730000.0,98.85,1.156365,43974000000.0
2014-09-29,Salida,-899535000.0,98.7,-0.151745,43582965000.0
2014-09-30,Salida,-705705000.0,98.77,0.070922,42811125000.0
2014-10-01,Salida,-246925000.0,97.2,-1.589551,42594562500.0
2014-10-02,Salida,-529740000.0,97.23,0.030864,41387760000.0
